context,target,split
acquitted myself to . ,admiration,train
myself to admiration ,.,train
to admiration .,,train
must own i,i,train
i own i felt,must,train
i must i felt a,own,train
i must own felt a little,i,train
must own i a little proud,felt,train
own i felt little proud when,a,train
i felt a proud when my,little,train
felt a little when my captain,proud,train
a little proud my captain offered,when,train
little proud when captain offered me,my,train
proud when my offered me the,captain,train
when my captain me the second,offered,train
my captain offered the second dignity,me,train
captain offered me second dignity in,the,train
offered me the dignity in the,second,train
me the second in the vessel,dignity,train
the second dignity the vessel and,in,train
second dignity in vessel and entreated,the,train
dignity in the and entreated me,vessel,train
in the vessel entreated me to,and,train
the vessel and me to remain,entreated,train
vessel and entreated to remain with,me,train
and entreated me remain with the,to,train
entreated me to with the greatest,remain,train
me to remain the greatest earnestness,with,train
"to remain with greatest earnestness ,",the,train
"remain with the earnestness , so",greatest,train
"with the greatest , so valuable",earnestness,train
the greatest earnestness so valuable did,",",train
"greatest earnestness , valuable did he",so,train
"earnestness , so did he consider",valuable,train
", so valuable he consider my",did,train
so valuable did consider my services,he,train
valuable did he my services .,consider,train
did he consider services . ,my,train
he consider my . ,services,train
consider my services ,.,train
my services .,,train
"now , dear",and,train
"and , dear margaret",now,train
"and now dear margaret ,",",",train
"and now , margaret , do",dear,train
"now , dear , do i",margaret,train
", dear margaret do i not",",",train
"dear margaret , i not deserve",do,train
"margaret , do not deserve to",i,train
", do i deserve to accomplish",not,train
do i not to accomplish some,deserve,train
i not deserve accomplish some great,to,train
not deserve to some great purpose,accomplish,train
deserve to accomplish great purpose ?,some,train
to accomplish some purpose ? ,great,train
accomplish some great ? ,purpose,train
some great purpose ,?,train
great purpose ?,,train
life might have,my,train
my might have been,life,train
my life have been passed,might,train
my life might been passed in,have,train
life might have passed in ease,been,train
might have been in ease and,passed,train
have been passed ease and luxury,in,train
"been passed in and luxury ,",ease,train
"passed in ease luxury , but",and,train
"in ease and , but i",luxury,train
ease and luxury but i preferred,",",train
"and luxury , i preferred glory",but,train
"luxury , but preferred glory to",i,train
", but i glory to every",preferred,train
but i preferred to every enticement,glory,train
i preferred glory every enticement that,to,train
preferred glory to enticement that wealth,every,train
glory to every that wealth placed,enticement,train
to every enticement wealth placed in,that,train
every enticement that placed in my,wealth,train
enticement that wealth in my path,placed,train
that wealth placed my path .,in,train
wealth placed in path . ,my,train
placed in my . ,path,train
in my path ,.,train
my path .,,train
", that some",oh,train
oh that some encouraging,",",train
"oh , some encouraging voice",that,train
"oh , that encouraging voice would",some,train
", that some voice would answer",encouraging,train
that some encouraging would answer in,voice,train
some encouraging voice answer in the,would,train
encouraging voice would in the affirmative,answer,train
voice would answer the affirmative !,in,train
would answer in affirmative ! ,the,train
answer in the ! ,affirmative,train
in the affirmative ,!,train
the affirmative !,,train
courage and my,my,train
my and my resolution,courage,train
my courage my resolution is,and,train
my courage and resolution is firm,my,train
courage and my is firm but,resolution,train
and my resolution firm but my,is,train
my resolution is but my hopes,firm,train
resolution is firm my hopes fluctuate,but,train
"is firm but hopes fluctuate ,",my,train
"firm but my fluctuate , and",hopes,train
"but my hopes , and my",fluctuate,train
my hopes fluctuate and my spirits,",",train
"hopes fluctuate , my spirits are",and,train
"fluctuate , and spirits are often",my,train
", and my are often depressed",spirits,train
and my spirits often depressed .,are,train
my spirits are depressed . ,often,train
spirits are often . ,depressed,train
are often depressed ,.,train
often depressed .,,train
am about to,i,train
i about to proceed,am,train
i am to proceed on,about,train
i am about proceed on a,to,train
am about to on a long,proceed,train
about to proceed a long and,on,train
to proceed on long and difficult,a,train
proceed on a and difficult voyage,long,train
"on a long difficult voyage ,",and,train
"a long and voyage , the",difficult,train
"long and difficult , the emergencies",voyage,train
and difficult voyage the emergencies of,",",train
"difficult voyage , emergencies of which",the,train
"voyage , the of which will",emergencies,train
", the emergencies which will demand",of,train
the emergencies of will demand all,which,train
emergencies of which demand all my,will,train
of which will all my fortitude,demand,train
which will demand my fortitude i,all,train
will demand all fortitude i am,my,train
demand all my i am required,fortitude,train
all my fortitude am required not,i,train
my fortitude i required not only,am,train
fortitude i am not only to,required,train
i am required only to raise,not,train
am required not to raise the,only,train
required not only raise the spirits,to,train
